timestamp,range,bearing,intensity
1054052331.07,8.17072928177,-6.13382886533e-18,0.0
1054052331.15,8.17067403315,-6.13382886533e-18,0.0
1054052331.26,8.16911049724,-6.13382886533e-18,0.0
1054052331.36,8.17071270718,-6.13382886533e-18,0.0
1054052331.47,8.17067955801,-6.13382886533e-18,0.0
1054052331.58,8.17072928177,-6.13382886533e-18,0.0
1054052331.69,8.1706961326,-6.13382886533e-18,0.0
1054052331.8,8.17069060773,-6.13382886533e-18,0.0
1054052332.02,8.17078453039,-6.13382886533e-18,0.0
1054052332.13,8.17069060773,-6.13382886533e-18,0.0
1054052332.24,8.17059116022,-6.13382886533e-18,0.0
1054052332.35,8.17052486188,-6.13382886533e-18,0.0
1054052332.46,8.1706519337,-6.13382886533e-18,0.0
1054052332.56,8.1706519337,-6.13382886533e-18,0.0
1054052332.67,8.17062983425,-6.13382886533e-18,0.0
1054052332.8,8.17072928177,-6.13382886533e-18,0.0
1054052332.89,8.17060220994,-6.13382886533e-18,0.0
1054052333.0,8.17064088398,-6.13382886533e-18,0.0
1054052333.11,8.17064088398,-6.13382886533e-18,0.0
1054052333.22,8.17064088398,-6.13382886533e-18,0.0
1054052333.33,8.17062430939,-6.13382886533e-18,0.0
1054052333.44,8.17066850829,-6.13382886533e-18,0.0
1054052333.55,8.17059116022,-6.13382886533e-18,0.0
1054052333.66,8.17064088398,-6.13382886533e-18,0.0
1054052333.77,8.17069060773,-6.13382886533e-18,0.0
1054052333.87,8.17071823204,-6.13382886533e-18,0.0
1054052333.99,8.17064088398,-6.13382886533e-18,0.0
1054052334.1,8.1706961326,-6.13382886533e-18,0.0
1054052334.2,8.17070165746,-6.13382886533e-18,0.0
1054052334.31,8.17067403315,-6.13382886533e-18,0.0
1054052334.41,8.17064640884,-6.13382886533e-18,0.0
1054052334.52,8.17064088398,-6.13382886533e-18,0.0
1054052334.63,8.17070165746,-6.13382886533e-18,0.0
1054052334.74,8.17080110497,-6.13382886533e-18,0.0
1054052334.84,8.17075690608,-6.13382886533e-18,0.0
1054052334.94,8.17064088398,-6.13382886533e-18,0.0
1054052335.05,8.17070718232,-6.13382886533e-18,0.0
1054052335.16,8.17057458564,-6.13382886533e-18,0.0
1054052335.27,8.17065745856,-6.13382886533e-18,0.0
1054052335.38,8.17054696133,-6.13382886533e-18,0.0
1054052335.48,8.1705359116,-6.13382886533e-18,0.0
1054052335.58,8.17053038674,-6.13382886533e-18,0.0
1054052335.69,8.17049171271,-6.13382886533e-18,0.0
1054052335.81,8.17053038674,-6.13382886533e-18,0.0
1054052335.91,8.17058563536,-6.13382886533e-18,0.0
1054052336.02,8.17042541436,-6.13382886533e-18,0.0
1054052336.13,8.17045303867,-6.13382886533e-18,0.0
1054052336.24,8.17057458564,-6.13382886533e-18,0.0
1054052336.35,8.17049171271,-6.13382886533e-18,0.0
1054052336.46,8.17051933702,-6.13382886533e-18,0.0
1054052336.57,8.1705359116,-6.13382886533e-18,0.0
1054052336.68,8.1705801105,-6.13382886533e-18,0.0
1054052336.78,8.17038121547,-6.13382886533e-18,0.0
1054052336.88,8.17048066298,-6.13382886533e-18,0.0
1054052336.99,8.17048066298,-6.13382886533e-18,0.0
1054052337.1,8.17044751381,-6.13382886533e-18,0.0
1054052337.21,8.17041436464,-6.13382886533e-18,0.0
1054052337.31,8.17044751381,-6.13382886533e-18,0.0
1054052337.42,8.17046961326,-6.13382886533e-18,0.0
1054052337.53,8.17047513812,-6.13382886533e-18,0.0
1054052337.64,8.17048066298,-6.13382886533e-18,0.0
1054052337.75,8.17043093923,-6.13382886533e-18,0.0
1054052337.85,8.17043093923,-6.13382886533e-18,0.0
1054052337.95,8.17050828729,-6.13382886533e-18,0.0
1054052338.06,8.17053038674,-6.13382886533e-18,0.0
1054052338.17,8.17051381215,-6.13382886533e-18,0.0
1054052338.28,8.17049723757,-6.13382886533e-18,0.0
